Status,Module,Sub-Module,SAP S/4HANA Table,SAP Field,SAP Field Name,Construction App Table,Construction App Field,Data Type,Max Length,Notes
Implemented,BASIS,Number Ranges - Object Definition,TNRO,CODE,Subobject Required,document_number_ranges,fiscal_year,VARCHAR,4,Fiscal year as subobject
Implemented,BASIS,Number Ranges - Intervals,NRIV,OBJECT,Number Range Object,document_number_ranges,document_type,VARCHAR,10,Object identifier
Implemented,BASIS,Number Ranges - Intervals,NRIV,SUBOBJECT,Subobject,document_number_ranges,fiscal_year,VARCHAR,4,Fiscal year
Implemented,BASIS,Number Ranges - Intervals,NRIV,NRRANGENR,Number Range Number,document_number_ranges,range_number,VARCHAR,2,Range identifier (01-99)
Implemented,BASIS,Number Ranges - Intervals,NRIV,FROMNUMBER,From Number,document_number_ranges,from_number,VARCHAR,20,Range start
Implemented,BASIS,Number Ranges - Intervals,NRIV,TONUMBER,To Number,document_number_ranges,to_number,VARCHAR,20,Range end
Implemented,BASIS,Number Ranges - Intervals,NRIV,NRLEVEL,Current Number,document_number_ranges,current_number,VARCHAR,20,Last used number
Implemented,BASIS,Number Ranges - Intervals,NRIV,EXTERNIND,External Number Assignment,document_number_ranges,is_external,BOOLEAN,,External numbering flag
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Company Code,document_number_ranges,company_code,VARCHAR,10,Company code assignment
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Prefix,document_number_ranges,prefix,VARCHAR,10,Number prefix
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Suffix,document_number_ranges,suffix,VARCHAR,10,Number suffix
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Padding Length,document_number_ranges,padding_length,INTEGER,,Zero-padding length
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Warning Threshold,document_number_ranges,warning_threshold,INTEGER,,Alert threshold percentage
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Is Active,document_number_ranges,is_active,BOOLEAN,,Active status
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Created At,document_number_ranges,created_at,TIMESTAMP,,Creation timestamp
Implemented,BASIS,Number Ranges - Configuration,Custom,Custom,Modified At,document_number_ranges,modified_at,TIMESTAMP,,Last modification
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Alert ID,number_range_alerts,id,UUID,,Alert identifier
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Company Code,number_range_alerts,company_code,VARCHAR,10,Company code
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Document Type,number_range_alerts,document_type,VARCHAR,10,Document type
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Alert Type,number_range_alerts,alert_type,VARCHAR,20,WARNING/CRITICAL/EXHAUSTED
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Message,number_range_alerts,message,TEXT,,Alert message
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Is Acknowledged,number_range_alerts,is_acknowledged,BOOLEAN,,Acknowledgment status
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Created At,number_range_alerts,created_at,TIMESTAMP,,Alert timestamp
Implemented,BASIS,Number Ranges - Alerts,Custom,Custom,Acknowledged At,number_range_alerts,acknowledged_at,TIMESTAMP,,Acknowledgment timestamp
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,History ID,number_range_usage_history,id,UUID,,History record ID
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,Company Code,number_range_usage_history,company_code,VARCHAR,10,Company code
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,Document Type,number_range_usage_history,document_type,VARCHAR,10,Document type
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,Number Assigned,number_range_usage_history,number_assigned,VARCHAR,20,Assigned number
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,Used At,number_range_usage_history,used_at,TIMESTAMP,,Assignment timestamp
Implemented,BASIS,Document Type Configuration,Custom,Custom,Config ID,document_type_config,id,UUID,,Configuration identifier
Implemented,BASIS,Document Type Configuration,Custom,Custom,Company Code,document_type_config,company_code,VARCHAR,31,Tenant/Company identifier
Implemented,BASIS,Document Type Configuration,Custom,Custom,Base Document Type,document_type_config,base_document_type,VARCHAR,10,"MR, PR, PO, GR, GI, CI, VI, etc."
Implemented,BASIS,Document Type Configuration,Custom,Custom,Subtype Code,document_type_config,subtype_code,VARCHAR,2,"01-99 subtype identifier"
Implemented,BASIS,Document Type Configuration,Custom,Custom,Subtype Name,document_type_config,subtype_name,VARCHAR,100,"Standard, Emergency, etc."
Implemented,BASIS,Document Type Configuration,Custom,Custom,Description,document_type_config,description,TEXT,,Detailed description
Implemented,BASIS,Document Type Configuration,Custom,Custom,SAP Document Type,document_type_config,sap_document_type,VARCHAR,10,"SAP BLART/BWART mapping"
Implemented,BASIS,Document Type Configuration,Custom,Custom,Number Range Group,document_type_config,number_range_group,VARCHAR,10,Links to number range
Implemented,BASIS,Document Type Configuration,Custom,Custom,Format Template,document_type_config,format_template,VARCHAR,100,"{prefix}-{year}-{number}"
Implemented,BASIS,Document Type Configuration,Custom,Custom,Number Length,document_type_config,number_length,INTEGER,,"6 or 8 digits"
Implemented,BASIS,Document Type Configuration,Custom,Custom,Expected Volume,document_type_config,expected_volume,VARCHAR,10,"LOW/MEDIUM/HIGH"
Implemented,BASIS,Document Type Configuration,Custom,Custom,Is Active,document_type_config,is_active,BOOLEAN,,Active status
Implemented,BASIS,Document Type Configuration,Custom,Custom,Display Order,document_type_config,display_order,INTEGER,,Sort order in UI
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,Mapping ID,sap_document_type_mapping,id,UUID,,Mapping identifier
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,Our Document Type,sap_document_type_mapping,our_doc_type,VARCHAR,10,"Our code (MR, GR, CI)"
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,Our Subtype,sap_document_type_mapping,our_subtype,VARCHAR,2,"Our subtype (01, 02)"
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,SAP Document Type,sap_document_type_mapping,sap_doc_type,VARCHAR,10,"SAP BLART (DR, KR, SA)"
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,SAP Movement Type,sap_document_type_mapping,sap_movement_type,VARCHAR,3,"SAP BWART (101, 201, 261)"
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,SAP BLART,sap_document_type_mapping,sap_blart,VARCHAR,10,"SAP document type code"
Implemented,BASIS,SAP Document Type Mapping,Custom,Custom,Description,sap_document_type_mapping,description,TEXT,,Mapping description
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Log ID,number_range_audit_log,id,UUID,,Audit log identifier
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Company Code,number_range_audit_log,company_code,VARCHAR,31,Company code
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Document Type,number_range_audit_log,document_type,VARCHAR,10,Document type
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Number Range Group,number_range_audit_log,number_range_group,VARCHAR,10,Range group
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Action,number_range_audit_log,action,VARCHAR,50,"GENERATED/EXTENDED/EXHAUSTED"
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Old Value,number_range_audit_log,old_value,BIGINT,,Previous number
Implemented,BASIS,Number Range Audit Log,Custom,Custom,New Value,number_range_audit_log,new_value,BIGINT,,New number
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Old To Number,number_range_audit_log,old_to_number,BIGINT,,Previous range end
Implemented,BASIS,Number Range Audit Log,Custom,Custom,New To Number,number_range_audit_log,new_to_number,BIGINT,,New range end
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Extended By,number_range_audit_log,extended_by,BIGINT,,Extension amount
Implemented,BASIS,Number Range Audit Log,Custom,Custom,User ID,number_range_audit_log,user_id,UUID,,User who triggered action
Implemented,BASIS,Number Range Audit Log,Custom,Custom,Timestamp,number_range_audit_log,timestamp,TIMESTAMP,,Action timestamp
Implemented,BASIS,Number Range Enhancement,Custom,Custom,Auto Extend,document_number_ranges,auto_extend,BOOLEAN,,Auto-extension enabled
Implemented,BASIS,Number Range Enhancement,Custom,Custom,Extend By,document_number_ranges,extend_by,BIGINT,,Extension amount
Implemented,BASIS,Number Range Enhancement,Custom,Custom,Last Used Date,document_number_ranges,last_used_date,TIMESTAMP,,Last number generation
Implemented,MM,Material Request,Custom,Custom,Request Number,material_requests,request_number,VARCHAR,20,"Format: MR-01-24-000123"
Implemented,MM,Material Request,Custom,Custom,Document Type Code,material_requests,document_type_code,VARCHAR,2,"Subtype code (01, 02, etc.)"
Implemented,MM,Material Request,Custom,Custom,Activity Code,material_requests,activity_code,VARCHAR,31,Activity assignment
Implemented,MM,Material Request,Custom,Custom,Storage Location,material_requests,storage_location,VARCHAR,31,Storage location code
Implemented,MM,Material Document,Custom,Custom,Document Number,material_movements,document_number,VARCHAR,20,"Format: GR-01-24-00000001"
Implemented,MM,Material Document,Custom,Custom,SAP MBLNR,material_movements,sap_mblnr,VARCHAR,10,SAP material document number
Implemented,MM,Material Document,Custom,Custom,SAP MJAHR,material_movements,sap_mjahr,VARCHAR,4,SAP material document year
Implemented,MM,Material Document,Custom,Custom,SAP BWART,material_movements,sap_bwart,VARCHAR,3,"SAP movement type (101, 201)"
Implemented,MM,Material Document,Custom,Custom,SAP BLART,material_movements,sap_blart,VARCHAR,2,"SAP document type (WE, WA)"
Implemented,FI,Customer Invoice,Custom,Custom,Invoice Number,customer_invoices,invoice_number,VARCHAR,20,"Format: CI-01-24-00000001"
Implemented,FI,Customer Invoice,Custom,Custom,SAP BELNR,customer_invoices,sap_belnr,VARCHAR,10,SAP accounting document
Implemented,FI,Customer Invoice,Custom,Custom,SAP GJAHR,customer_invoices,sap_gjahr,VARCHAR,4,SAP fiscal year
Implemented,FI,Customer Invoice,Custom,Custom,SAP BLART,customer_invoices,sap_blart,VARCHAR,2,"SAP document type (DR)"
Implemented,FI,Vendor Invoice,Custom,Custom,Invoice Number,vendor_invoices,invoice_number,VARCHAR,20,"Format: VI-01-24-00000001"
Implemented,FI,Vendor Invoice,Custom,Custom,SAP BELNR,vendor_invoices,sap_belnr,VARCHAR,10,SAP accounting document
Implemented,FI,Vendor Invoice,Custom,Custom,SAP GJAHR,vendor_invoices,sap_gjahr,VARCHAR,4,SAP fiscal year
Implemented,FI,Vendor Invoice,Custom,Custom,SAP BLART,vendor_invoices,sap_blart,VARCHAR,2,"SAP document type (KR)"
Implemented,FI,Payment Document,Custom,Custom,Payment Number,payments,payment_number,VARCHAR,20,"Format: PD-01-24-00000001"
Implemented,FI,Payment Document,Custom,Custom,SAP BELNR,payments,sap_belnr,VARCHAR,10,SAP payment document
Implemented,FI,Payment Document,Custom,Custom,SAP GJAHR,payments,sap_gjahr,VARCHAR,4,SAP fiscal year
Implemented,FI,Payment Document,Custom,Custom,SAP BLART,payments,sap_blart,VARCHAR,2,"SAP document type (DZ)"
Implemented,FI,Journal Entry,Custom,Custom,Journal Number,journal_entries,journal_number,VARCHAR,20,"Format: JE-01-24-00000001"
Implemented,FI,Journal Entry,Custom,Custom,SAP BELNR,journal_entries,sap_belnr,VARCHAR,10,SAP journal document
Implemented,FI,Journal Entry,Custom,Custom,SAP GJAHR,journal_entries,sap_gjahr,VARCHAR,4,SAP fiscal year
Implemented,FI,Journal Entry,Custom,Custom,SAP BLART,journal_entries,sap_blart,VARCHAR,2,"SAP document type (SA)"ment timestamp
Implemented,BASIS,Number Ranges - Usage History,Custom,Custom,User ID,number_range_usage_history,user_id,UUID,,User who requested
Mapping Only,BASIS,Number Range Objects,TNRO,MATL,Material Number,document_number_ranges,MATERIAL,,,Material master numbering
Mapping Only,BASIS,Number Range Objects,TNRO,BELNR,Accounting Document,document_number_ranges,FI_DOCUMENT,,,Financial document numbering
Mapping Only,BASIS,Number Range Objects,TNRO,BANFN,Purchase Requisition,document_number_ranges,PR,,,PR numbering
Mapping Only,BASIS,Number Range Objects,TNRO,EBELN,Purchase Order,document_number_ranges,PO,,,PO numbering
Mapping Only,BASIS,Number Range Objects,TNRO,MBLNR,Material Document,document_number_ranges,GR,,,Goods receipt numbering
Mapping Only,BASIS,Number Range Objects,TNRO,BELNR_INV,Invoice Document,document_number_ranges,INVOICE,,,Invoice numbering
Mapping Only,BASIS,Number Range Objects,TNRO,PSPNR,Project Definition,document_number_ranges,PROJECT,,,Project numbering
Mapping Only,BASIS,Number Range Objects,TNRO,AUFNR,Order Number,document_number_ranges,ORDER,,,Internal order numbering
Implemented,BASIS,Transaction Codes,SNUM,SNUM,Number Range Maintenance,NumberRangeMaintenance,,,,Component: NumberRangeMaintenance
Implemented,MM-IM,Inventory Management - Stock,MARD,LABST,Unrestricted Stock,stock_balances,current_quantity,DECIMAL,"15,3",
Not Implemented,MM-IM,Inventory Management - Stock,MARD,INSME,Quality Inspection Stock,,,,,Not implemented
Not Implemented,MM-IM,Inventory Management - Stock,MARD,SPEME,Blocked Stock,,,,,Not implemented
Implemented,MM-IM,Inventory Management - Stock,Custom,Custom,Reserved Quantity,stock_balances,reserved_quantity,DECIMAL,"15,3",Custom field
Implemented,MM-IM,Inventory Management - Stock,Custom,Custom,Available Quantity,stock_balances,available_quantity,DECIMAL,"15,3",Calculated field
Mapping Only,MM,Material Type Mapping,Custom,Custom,FERT - Finished Product,material_types,FG,,,Finished Goods
Mapping Only,MM,Material Type Mapping,Custom,Custom,ROH - Raw Material,material_types,RM,,,Raw Materials
Mapping Only,MM,Material Type Mapping,Custom,Custom,HALB - Semi-Finished,material_types,SFG,,,Semi-Finished
Mapping Only,MM,Material Type Mapping,Custom,Custom,HAWA - Trading Goods,material_types,TG,,,Trading Goods
Mapping Only,MM,Material Type Mapping,Custom,Custom,DIEN - Services,material_types,SER,,,Services
Mapping Only,MM,Material Type Mapping,Custom,Custom,HIBE - Operating Supplies,material_types,RM,,,Mapped to Raw Materials
Mapping Only,MM,Material Type Mapping,Custom,Custom,VERP - Packaging Material,material_types,RM,,,Mapped to Raw Materials
Not Implemented,MM,Material Type Mapping,Custom,Custom,NLAG - Non-Stock Material,,,,,Not implemented
Implemented,MM,Transaction Codes,MM01,MM01,Create Material Master,CreateMaterialMaster,,,,"Component: CreateMaterialMaster"
Implemented,MM,Transaction Codes,MM02,MM02,Change Material Master,MaintainMaterialMaster,,,,"Component: MaintainMaterialMaster"
Implemented,MM,Transaction Codes,MM03,MM03,Display Material Master,DisplayMaterialMaster,,,,"Component: DisplayMaterialMaster"
Implemented,MM,Transaction Codes,MM50,MM50,Extend Material to Plant,ExtendMaterialToPlant,,,,"Component: ExtendMaterialToPlant"
Implemented,MM,Transaction Codes,MM60,MM60,Material Plant Parameters,MaterialPlantParameters,,,,"Component: MaterialPlantParameters"
Implemented,MM-IM,Transaction Codes,MMBE,MMBE,Stock Overview,StockOverview,,,,"Component: StockOverview"
Not Implemented,MM-IM,Transaction Codes,MB51,MB51,Material Document List,,,,,Not implemented
Not Implemented,MM-IM,Transaction Codes,MB52,MB52,Stock List,,,,,Not implemented
Implemented,FI,Chart of Accounts - Master Data,SKA1,KTOPL,Chart of Accounts,chart_of_accounts,chart_id,VARCHAR,10,Chart identifier
Implemented,FI,Chart of Accounts - Master Data,SKA1,SAKNR,GL Account Number,chart_of_accounts,account_code,VARCHAR,10,10-char GL account
Implemented,FI,Chart of Accounts - Master Data,SKAT,TXT50,GL Account Name,chart_of_accounts,account_name,VARCHAR,500,Account description
Implemented,FI,Chart of Accounts - Master Data,SKA1,XBILK,Balance Sheet Account,chart_of_accounts,account_type,VARCHAR,20,ASSET/LIABILITY/EQUITY/REVENUE/EXPENSE
Implemented,FI,Chart of Accounts - Master Data,SKA1,KTOKS,Account Group,chart_of_accounts,account_group,VARCHAR,10,Account classification
Not Implemented,FI,Chart of Accounts - Master Data,SKA1,XSPEB,Blocked for Posting,chart_of_accounts,is_blocked,BOOLEAN,,Posting block indicator
Not Implemented,FI,Chart of Accounts - Master Data,SKA1,XSPEA,Blocked for Planning,chart_of_accounts,is_planning_blocked,BOOLEAN,,Planning block indicator
Implemented,FI,Chart of Accounts - Company Code,SKB1,BUKRS,Company Code,chart_of_accounts,company_code,VARCHAR,10,Company code assignment
Implemented,FI,Chart of Accounts - Company Code,SKB1,SAKNR,GL Account Number,chart_of_accounts,account_code,VARCHAR,10,GL account in company code
Not Implemented,FI,Chart of Accounts - Company Code,SKB1,WAERS,Currency,chart_of_accounts,currency,VARCHAR,3,Account currency
Not Implemented,FI,Chart of Accounts - Company Code,SKB1,XINTB,Interest Calculation,chart_of_accounts,interest_calc,BOOLEAN,,Interest calculation indicator
Not Implemented,FI,Chart of Accounts - Company Code,SKB1,XMWNO,Tax Category,chart_of_accounts,tax_category,VARCHAR,10,Tax posting category
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,RLDNR,Ledger,financial_documents,ledger,VARCHAR,2,Leading ledger (0L)
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,RBUKRS,Company Code,financial_documents,company_code,VARCHAR,10,Company code
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,GJAHR,Fiscal Year,financial_documents,fiscal_year,VARCHAR,4,Posting fiscal year
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BELNR,Document Number,financial_documents,document_number,VARCHAR,10,Accounting document number
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BUZEI,Line Item,financial_documents,line_item,INTEGER,,Line item number
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,RACCT,Account Number,financial_documents,account_code,VARCHAR,10,GL account number
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BLART,Document Type,financial_documents,document_type,VARCHAR,2,SA/AB/KR/RE/etc
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BLDAT,Document Date,financial_documents,document_date,DATE,,Document date
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BUDAT,Posting Date,financial_documents,posting_date,DATE,,Posting date
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,WAERS,Currency,financial_documents,currency,VARCHAR,3,Document currency
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,HSL,Amount in Local Currency,financial_documents,amount_lc,DECIMAL,"15,2",Amount in company currency
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,TSL,Amount in Transaction Currency,financial_documents,amount_tc,DECIMAL,"15,2",Amount in document currency
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,MENGE,Quantity,financial_documents,quantity,DECIMAL,"15,3",Quantity
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,MEINS,Unit of Measure,financial_documents,uom,VARCHAR,10,Base unit
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,MATNR,Material Number,financial_documents,material_code,VARCHAR,40,Material
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,WERKS,Plant,financial_documents,plant_code,VARCHAR,10,Plant
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,KOSTL,Cost Center,financial_documents,cost_center,VARCHAR,10,Cost center
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,AUFNR,Order Number,financial_documents,order_number,VARCHAR,12,Internal order/Project
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,PRCTR,Profit Center,financial_documents,profit_center,VARCHAR,10,Profit center
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,SEGMENT,Segment,financial_documents,segment,VARCHAR,10,Segment for segmental reporting
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,SGTXT,Item Text,financial_documents,line_item_text,VARCHAR,500,Line item description
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,XBLNR,Reference Document,financial_documents,reference_doc,VARCHAR,16,External reference
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,BKTXT,Document Header Text,financial_documents,header_text,VARCHAR,500,Document description
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,LIFNR,Vendor Number,financial_documents,vendor_code,VARCHAR,10,Vendor account
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,KUNNR,Customer Number,financial_documents,customer_code,VARCHAR,10,Customer account
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZTERM,Payment Terms,financial_documents,payment_terms,VARCHAR,4,Payment terms key
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZFBDT,Baseline Date,financial_documents,baseline_date,DATE,,Payment baseline date
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZBD1T,Cash Discount Days 1,financial_documents,discount_days_1,INTEGER,,First discount period
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZBD1P,Cash Discount Percent 1,financial_documents,discount_pct_1,DECIMAL,"5,2",First discount percentage
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZBD2T,Cash Discount Days 2,financial_documents,discount_days_2,INTEGER,,Second discount period
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,ZBD2P,Cash Discount Percent 2,financial_documents,discount_pct_2,DECIMAL,"5,2",Second discount percentage
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,REBZG,Invoice Reference,financial_documents,invoice_reference,VARCHAR,10,Invoice document number
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,REBZJ,Invoice Fiscal Year,financial_documents,invoice_year,VARCHAR,4,Invoice fiscal year
Not Implemented,FI,Universal Journal (ACDOCA),ACDOCA,REBZZ,Invoice Line Item,financial_documents,invoice_line_item,INTEGER,,Invoice line item number
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,LIFNR,Vendor Number,vendors,vendor_code,VARCHAR,10,Vendor account number
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,NAME1,Vendor Name,vendors,vendor_name,VARCHAR,500,Vendor name
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,SORTL,Search Term,vendors,search_term,VARCHAR,20,Search key
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,STRAS,Street,vendors,street,VARCHAR,500,Street address
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,ORT01,City,vendors,city,VARCHAR,100,City
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,PSTLZ,Postal Code,vendors,postal_code,VARCHAR,10,Postal code
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,LAND1,Country,vendors,country_code,VARCHAR,2,Country key
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,TELF1,Telephone,vendors,phone,VARCHAR,20,Phone number
Not Implemented,FI-AP,Vendor Master - General Data,LFA1,SMTP_ADDR,Email,vendors,email,VARCHAR,500,Email address
